Abk;Kurzname;Bedeutung
Ko11;Kontrolleur-Ankündigungssignal;Achtung Kontrollkräfte! Es kann sich um bahneigene Kontrolleure oder um Bedienstete der Eisenbahn-Behinderungs-Anstalt (EBA) handeln. Mit höchster Aufmerksamkeit kann das Freiwerden des eigenen Arbeitsplatzes verhindert werden
Bd12;Bierdosenhalter Prüfsignal;Am Beginn bogenreicher Strecken aufgestellt und ortsfest. Bei Annäherung leuchtet der Buchstb 'B' auf. Der Tf hat beim Erkennen die ordnungsgemäße Befestigung des Bierdosenhalters und den sicheren Sitz der eingelagerten Dose zu prüfen
Nf13;NeiTech-Flaute;Gilt nur bei wirksamer Neigetechnik. Tf haben Signal mit Zp1 zu bestätigen. Es ist eine Fingerluftprobe mit Zeigefinger durchzuführen. Bei Windkraft > 150Md/h (Mehdorn/h) Geschwindigkeit auf angezeigten Wert verringern und Störung der Anlage melden
Nw14;NeiTech-Wind;Gilt nur bei wirksamer Neigetechnik. Tf haben Signal mit Zp1 zu bestätigen, ohne Betätigung der Wachsamkeitstaste zu versäumen. Geschwindigkeit ist sofort auf angezeigten Wert zu verringern
Pw15;Private erwarten;Warnt Tf der DB vor Fahrten privater EVU. Es ist unmittelbar vor solchen Gefahrenstellen aufgestellt, an denen Betriebsgefährdungen durch Fahrten Dritter ohne Auftrag, ohne Grund oder ohne Sinn enstehen können
Sk16;Schienenkreuzungssignal;Steht an Kreuzungen der linken mit der rechten Schiene eines Gleises zur gleichmäßigen Abnutzung. Vollständiger Abschluss der Arbeiten ist nicht garantiert. Zur Ankündigung wird im Bremswegabstand das Überraschungssignal Üs8 aufgestellt
Sp17;Speiseplan-Merkzeichen;Von DB Gastritis bewirtete Versorgungseinrichtung am Ende des nächsten Blockabschnittes. Geschwindigkeit ist so zu wählen, dass Ziel erreicht wird, bevor das Wohlbefinden des Tf beeinträchtigt wird
Wb18;Waldbahnsignal;Zeigt Tf an, dass er sich auf einer wald- & wasserreichen Strecke befindet. Die Fenster des Fst sind umgehend zu schließen, da mit dem Eindringen von Stechinsekten oder ins Profil ragenden Ästen zu rechnen ist
Qk19;Quadratur des Kreises möglich;Im foglenden Abschnitt ist das Unmögliche möglich gemacht worden. Einträge des Geschw- und Fahrzeitenheft sowie der La sind mit der örtlichen Signalisierung zu vergleichen. Nach Ende des Lachanfalls darf auf Sicht weiter gefahren werden
Gs20;Geburtstagssignal;Im Unternehmensbereich Netz wird Geburtstag gefeiert. Bei Erkennen ist mehrmals das Fröhlichkeitssignal Fs6 zu geben. Jegliche Anfragen von netzfremden Personen sind tunlichst zu vermeiden, Notfallmanagement findet bis auf weiteres nicht statt
Ma21;Maut-Abzocksignal;Der Tf hat am Signalstandort anzuhalten und mit der Geldkarte des EVU die Freigabe zur Weiterfahrt zu erwirken. In Ausnahmefällen darf auch die private Geldkarte des Tf verwendet werden
Ha22;Hochstart-Aufforderungssignal;Um Fahrzeitverluste durch Fahrgastwechsel auszugleichen sind ungesicherte Gegenstände im Fst zu sichern und nach Geben des Achtungssignals ist die höchstmögliche Fahrstufe zu wählen
Mu23;Monduntergangs-Hinweisschild;Vom Signalstandort aus kann der Mond beobachtet werden, falls der Tf nicht bereits ganztägig in den Mond blicken kann. Bei Dunkelheit u Unsichtigem Wetter ist die Aufmerksamkeit auf das Erkennen des Lichts am Ende des Tunnels zu richten
Fp24;Fahrspannungs-Prüfsignal;Die Fahrspannung ist von Hand zu prüfen. Gilt nur für Tf deren Unternehmensbereich dringlich Personale abbauen muss
Kf25;Kaffeetasse festhalten;Getränke die aufgrund ihrer Temperatur ein hohes Gefährdungspotential bergen sind sofort festzuhalten und die Gefahrenstelle zügig zu befahren
Fa26;Funkloch Anfang;Beginn eines Streckenabschnittes der nicht (regelmäßig) durch ZF versorgt wird
Fe27;Funkloch Ende;Ende eines Streckenabschnittes der nicht (regelmäßig) durch ZF versorgt wird
Sg28;Staugefahr;Steht vor Betriebsstellen mit rationalisiertem Gleisplan oder Anschluss an ESTW in einer Bz. Mit erhöhter Vorsicht an Stauende heranfahren. Bei Berührung mit maximaler Kraft nachschieben, ggf. ist regelmäßig zu sanden
Ka29;Kaffeefertiganzeiger;Kaffee ist fertig.Signal wird durch FDL gegeben. Nach Erkennen ist der Zug am gewöhnlichen Halteplatz anzuhalten und unverzüglich der Dienstraum des Fdl aufzusuchen.
Kv30;Kaffeefertigvoranzeiger;Kaffee ist fast fertig. Tf hat sich auf Signal Ka29 vorzubereiten. Es ist der passende Kaffeepreis bereitzuhalten, da die Signale Ka29/Kv30 nicht von der Bezahlung entbinden. Preise sind im Verzeichnis 'K' festgelegt
Bp31;Achtungstafel ICE;Hinweise auf Zusatzschild beachten
Bü32;Überwachungssignal für technisch nicht gesicherte Bahnübergänge;Halt vor dem Bahnübergang. Weiterfahrt erst nach Sicherung
Hi33;H-Tafel Imbiss;Kennzeichnung des Halteplatzes der Zugspitze bei haltenden Zügen zur Einnahme eines Imbiss durch den Tf
Gp34;Rechtsfahrerersatzsignal;Am Halt zeigenden oder gestörten Lichthauptsignal vorbeifahren, an der nächsten Weiche in das rechts abzweigende Gleis einfahren
Pz35;Pausenzusatzsignal;Am Halt zeigenden Hauptsignal stillschweigend auf Fahrtbegriff warten
Mb36;Milzbrandwarnsignal;Sofort anhalten. Mitgeführte Schutzausrüstung anlegen. Alle Fenster und Türen schließen
